venue-name;venue-address;workspaceTypesFormatted;workspaceSearchResults-spaceTypeFormatted;price;priceDescription
Lucid Private Offices | NorthPark;8080 North Central Expressway, Dallas, TX 75206;;Meeting Space;75.0;/hour
Lucid Private Offices | NorthPark;8080 North Central Expressway, Dallas, TX 75206;;Meeting Space;85.0;/hour
Lucid Private Offices | NorthPark;8080 North Central Expressway, Dallas, TX 75206;;Meeting Space;85.0;/hour
Strive Workspaces Preston Grove;15150 Preston Road, 300, Dallas, TX 75248;;Event Space;100.0;/hour
Strive Workspaces Preston Grove;15150 Preston Road, 300, Dallas, TX 75248;;Meeting Space;60.0;/hour
Strive Workspaces Preston Grove;15150 Preston Road, 300, Dallas, TX 75248;;Meeting Space;60.0;/hour
Legacy Plaza;5465 Legacy Dr, Suite 650, Plano, TX 75024;;Meeting Space;65.0;/hour
Legacy Plaza;5465 Legacy Dr, Suite 650, Plano, TX 75024;;Meeting Space;55.0;/hour
Legacy Plaza;5465 Legacy Dr, Suite 650, Plano, TX 75024;;Meeting Space;45.0;/hour
Legacy Plaza;5465 Legacy Dr, Suite 650, Plano, TX 75024;;Office;30.0;/hour
The Gents Place - Southlake;1201 E State Hwy 114, 140, Southlake, TX 76092;;Meeting Space;99.0;/hour
